studentid,cgpa,internships,projects,certifications,aptitudetestscore,softskillsrating,extracurricularactivities,placementtraining,ssc_marks,hsc_marks,placementstatus
2019,8.0,0,3,2,90.0,4.7,Yes,Yes,71.0,88.0,Placed
3604,6.9,2,1,2,90.0,4.8,Yes,Yes,82.0,85.0,Placed
451,8.0,1,3,0,77.0,4.1,No,No,82.0,84.0,Placed
5227,7.2,1,1,0,71.0,4.3,No,No,62.0,72.0,NotPlaced
8295,7.6,1,1,1,80.0,3.7,No,Yes,61.0,58.0,NotPlaced
5805,7.6,1,3,1,65.0,3.7,No,No,56.0,59.0,NotPlaced
3621,7.3,0,1,1,69.0,4.6,No,No,58.0,65.0,NotPlaced
82,6.7,1,2,1,74.0,4.8,Yes,Yes,72.0,64.0,Placed
6836,8.0,2,3,2,90.0,4.8,Yes,Yes,85.0,83.0,Placed
2442,8.4,2,3,2,90.0,4.5,Yes,Yes,83.0,86.0,Placed
714,7.4,1,1,1,75.0,4.2,No,Yes,65.0,65.0,NotPlaced
8045,6.9,1,1,0,75.0,4.1,Yes,Yes,55.0,76.0,NotPlaced
1178,7.3,1,2,1,71.0,4.8,Yes,Yes,63.0,64.0,NotPlaced
7844,8.0,2,3,2,79.0,4.8,Yes,Yes,85.0,85.0,Placed
2741,8.4,2,3,0,86.0,4.7,Yes,Yes,84.0,83.0,Placed
702,8.4,2,1,1,87.0,4.8,No,Yes,75.0,78.0,NotPlaced
6710,8.1,2,1,2,80.0,4.2,Yes,No,75.0,80.0,Placed
4068,7.5,2,3,0,88.0,4.6,Yes,Yes,78.0,87.0,Placed
2786,6.5,1,1,1,76.0,4.2,No,Yes,63.0,67.0,NotPlaced
9920,7.5,2,1,1,82.0,4.7,No,Yes,76.0,59.0,Placed
7751,8.0,1,3,0,79.0,4.3,Yes,Yes,79.0,78.0,NotPlaced
1092,8.7,1,2,2,77.0,4.3,Yes,Yes,79.0,88.0,Placed
1578,8.1,0,3,0,90.0,4.8,Yes,Yes,84.0,88.0,Placed
3356,8.7,1,3,2,86.0,4.7,Yes,Yes,67.0,86.0,NotPlaced
4035,6.7,1,1,0,73.0,4.6,Yes,No,67.0,68.0,NotPlaced
9167,8.3,1,2,1,88.0,4.2,No,Yes,71.0,85.0,Placed
8974,7.7,0,1,1,72.0,4.1,No,Yes,55.0,64.0,NotPlaced
6006,7.0,1,1,1,64.0,4.1,No,No,58.0,62.0,NotPlaced
6684,8.2,1,3,0,83.0,4.4,Yes,Yes,80.0,87.0,Placed
6906,8.3,2,3,2,87.0,4.3,Yes,Yes,67.0,84.0,Placed
5174,7.7,1,3,3,82.0,4.4,Yes,Yes,76.0,84.0,Placed
88,8.5,1,2,2,79.0,3.9,Yes,Yes,76.0,66.0,Placed
4776,9.0,2,3,2,84.0,4.4,Yes,Yes,77.0,80.0,NotPlaced
6853,7.6,1,1,1,72.0,4.5,No,No,55.0,66.0,NotPlaced
4973,8.5,2,1,0,79.0,4.8,Yes,No,55.0,72.0,Placed
9410,6.9,0,1,1,70.0,3.5,No,Yes,59.0,71.0,NotPlaced
7078,8.0,2,3,2,90.0,4.7,Yes,Yes,74.0,87.0,NotPlaced
9914,7.6,2,1,2,88.0,4.6,Yes,Yes,70.0,87.0,Placed
825,8.2,2,3,2,87.0,4.8,Yes,Yes,75.0,72.0,Placed
77,8.1,1,3,1,90.0,4.6,Yes,Yes,73.0,86.0,Placed
9665,8.4,2,3,2,90.0,4.8,Yes,Yes,80.0,85.0,Placed
425,7.9,0,1,0,85.0,4.5,Yes,No,76.0,81.0,NotPlaced
6675,7.6,1,1,1,70.0,4.4,Yes,Yes,55.0,70.0,NotPlaced
2703,8.5,2,3,2,90.0,4.8,Yes,Yes,83.0,85.0,Placed
3547,7.7,1,1,1,66.0,4.1,No,Yes,58.0,61.0,NotPlaced
6733,7.0,1,1,1,75.0,4.8,No,No,64.0,70.0,NotPlaced
5056,7.6,2,3,2,90.0,4.5,Yes,Yes,75.0,83.0,Placed
9318,7.7,1,3,2,70.0,3.8,Yes,Yes,76.0,80.0,NotPlaced
2792,6.7,2,1,2,82.0,4.6,Yes,Yes,82.0,70.0,NotPlaced
7193,8.5,2,3,2,90.0,4.8,Yes,Yes,82.0,87.0,Placed
1919,7.4,2,1,3,66.0,3.9,No,No,61.0,57.0,NotPlaced
2569,8.3,0,1,1,69.0,4.1,Yes,Yes,60.0,66.0,NotPlaced
4158,8.7,2,3,0,84.0,4.2,No,Yes,55.0,65.0,NotPlaced
5676,7.6,2,2,0,74.0,4.0,No,Yes,62.0,83.0,Placed
3489,7.6,1,3,2,83.0,4.5,Yes,Yes,68.0,73.0,NotPlaced
7762,7.5,1,1,0,67.0,4.1,No,No,57.0,67.0,NotPlaced
3782,8.5,1,3,2,90.0,4.7,Yes,Yes,80.0,80.0,Placed
7833,7.6,1,1,2,81.0,3.9,No,Yes,62.0,78.0,NotPlaced
5690,8.2,2,1,1,90.0,4.0,No,Yes,55.0,66.0,NotPlaced
6620,7.2,0,1,1,68.0,4.3,Yes,Yes,58.0,59.0,NotPlaced
5670,8.7,1,3,2,85.0,4.8,Yes,Yes,75.0,85.0,Placed
8661,7.3,1,3,0,84.0,4.6,Yes,No,61.0,66.0,NotPlaced
2625,7.7,1,1,0,82.0,3.7,No,Yes,55.0,81.0,Placed
8641,8.3,1,3,2,90.0,4.5,Yes,Yes,76.0,81.0,Placed
3727,7.8,1,3,0,90.0,4.0,Yes,Yes,84.0,79.0,Placed
4239,8.5,0,3,2,83.0,4.5,No,No,70.0,69.0,NotPlaced
4824,7.3,1,2,1,68.0,3.9,No,No,56.0,65.0,NotPlaced
6695,8.7,1,3,2,90.0,4.8,Yes,Yes,84.0,86.0,Placed
