studentid,cgpa,internships,projects,certifications,aptitudetestscore,softskillsrating,extracurricularactivities,placementtraining,ssc_marks,hsc_marks,placementstatus
9771,8.1,1,3,2,90.0,4.6,Yes,Yes,76.0,86.0,NotPlaced
6823,8.4,2,2,2,78.0,4.5,Yes,Yes,75.0,80.0,Placed
5976,8.4,1,2,1,85.0,4.8,Yes,No,79.0,80.0,NotPlaced
2211,8.5,2,3,2,90.0,4.7,Yes,Yes,84.0,86.0,Placed
1406,7.5,0,1,0,64.0,4.3,No,No,69.0,69.0,NotPlaced
1167,8.3,0,3,1,71.0,3.4,Yes,Yes,77.0,71.0,NotPlaced
1582,8.4,1,1,2,81.0,4.8,Yes,No,84.0,80.0,Placed
5249,8.4,1,1,1,84.0,4.2,Yes,No,73.0,74.0,NotPlaced
1216,6.9,1,3,2,82.0,3.5,Yes,Yes,59.0,60.0,Placed
9593,7.5,1,3,2,88.0,4.5,Yes,Yes,70.0,84.0,Placed
5182,8.2,1,3,2,86.0,4.6,Yes,No,83.0,82.0,Placed
9316,6.9,0,2,1,69.0,4.0,No,Yes,62.0,61.0,NotPlaced
1403,7.6,1,2,0,83.0,4.6,No,No,70.0,68.0,NotPlaced
3723,6.7,0,1,1,84.0,4.3,No,Yes,56.0,82.0,NotPlaced
6051,6.6,1,1,0,63.0,3.7,No,No,59.0,70.0,NotPlaced
6165,7.5,1,2,0,74.0,4.2,No,No,55.0,63.0,NotPlaced
7192,7.4,0,1,0,73.0,4.1,No,No,63.0,72.0,NotPlaced
555,8.2,0,3,0,76.0,4.7,Yes,Yes,77.0,66.0,NotPlaced
8853,8.2,2,3,2,90.0,4.8,Yes,Yes,71.0,80.0,Placed
4718,7.0,0,2,1,73.0,3.9,No,No,64.0,59.0,NotPlaced
2685,7.0,1,2,0,72.0,4.1,No,Yes,71.0,73.0,NotPlaced
8663,8.5,0,3,0,81.0,4.4,Yes,Yes,82.0,83.0,NotPlaced
2429,7.3,1,1,0,84.0,3.9,No,Yes,55.0,69.0,NotPlaced
7460,7.5,1,2,2,78.0,4.5,No,Yes,75.0,70.0,Placed
3682,8.4,0,3,2,90.0,4.8,Yes,No,80.0,82.0,Placed
8226,7.8,1,1,0,61.0,3.4,No,No,63.0,63.0,NotPlaced
5646,6.5,1,2,1,89.0,4.0,No,Yes,55.0,67.0,NotPlaced
5000,8.1,0,2,1,88.0,4.8,No,Yes,62.0,81.0,Placed
2522,8.1,1,1,2,76.0,4.0,No,Yes,71.0,71.0,NotPlaced
2289,7.6,1,3,0,82.0,4.8,Yes,Yes,69.0,84.0,Placed
9986,8.5,2,3,2,90.0,4.8,Yes,Yes,81.0,80.0,Placed
8068,6.7,1,1,0,64.0,3.7,No,Yes,55.0,60.0,NotPlaced
