studentid,cgpa,internships,projects,certifications,aptitudetestscore,softskillsrating,extracurricularactivities,placementtraining,ssc_marks,hsc_marks,placementstatus
6907,7.3,1,1,0,73.0,4.0,No,Yes,66.0,66.0,NotPlaced
3547,7.7,1,1,1,66.0,4.1,No,Yes,58.0,61.0,NotPlaced
7697,7.5,0,3,0,73.0,4.5,Yes,No,68.0,83.0,NotPlaced
2614,8.4,2,3,2,90.0,4.5,Yes,Yes,84.0,85.0,NotPlaced
5104,8.3,1,3,2,90.0,4.7,Yes,Yes,86.0,86.0,Placed
388,7.4,2,3,0,71.0,4.8,Yes,Yes,86.0,73.0,NotPlaced
8938,8.5,1,2,2,82.0,4.0,Yes,No,55.0,74.0,Placed
1581,7.5,1,1,1,78.0,4.2,No,Yes,59.0,72.0,NotPlaced
8270,7.8,0,2,2,82.0,4.8,Yes,Yes,77.0,68.0,NotPlaced
4452,8.9,1,3,1,74.0,4.5,Yes,Yes,62.0,81.0,Placed
3962,6.5,1,1,0,67.0,4.2,No,No,57.0,61.0,NotPlaced
2681,6.5,1,1,0,77.0,3.9,Yes,No,67.0,71.0,NotPlaced
4597,8.1,0,3,0,90.0,4.5,Yes,No,78.0,85.0,Placed
6320,6.5,1,1,0,87.0,4.3,No,No,55.0,74.0,NotPlaced
2290,8.0,1,2,1,80.0,4.2,Yes,No,77.0,69.0,NotPlaced
4241,7.5,1,1,0,71.0,4.3,No,No,57.0,78.0,Placed
7689,7.3,1,3,0,71.0,4.5,No,No,58.0,70.0,NotPlaced
7304,7.6,0,2,0,61.0,3.8,No,Yes,55.0,67.0,NotPlaced
47,6.9,1,1,1,76.0,4.4,No,No,55.0,65.0,NotPlaced
8753,8.6,1,2,1,78.0,4.3,Yes,Yes,70.0,67.0,Placed
6018,7.4,1,2,0,76.0,4.4,Yes,Yes,55.0,73.0,NotPlaced
4411,7.7,1,2,0,77.0,4.2,Yes,Yes,55.0,69.0,Placed
803,7.6,1,1,0,70.0,4.0,No,Yes,55.0,57.0,NotPlaced
2483,7.6,1,2,2,76.0,4.5,Yes,Yes,76.0,81.0,NotPlaced
9663,7.4,0,1,0,60.0,3.4,No,No,55.0,71.0,NotPlaced
1558,6.7,1,1,1,60.0,4.3,No,No,59.0,63.0,NotPlaced
5404,7.5,2,2,0,72.0,4.5,Yes,Yes,72.0,70.0,NotPlaced
3483,8.3,2,3,2,90.0,4.8,Yes,Yes,81.0,84.0,Placed
1909,6.7,1,2,0,75.0,4.8,Yes,Yes,55.0,67.0,Placed
5015,6.5,0,1,1,66.0,4.4,No,No,69.0,67.0,NotPlaced
3242,8.3,1,3,0,76.0,3.8,Yes,Yes,77.0,66.0,Placed
9922,7.5,1,1,0,64.0,3.8,Yes,No,62.0,63.0,NotPlaced
6143,7.9,1,3,3,86.0,4.5,Yes,Yes,69.0,67.0,Placed
2242,7.5,1,1,0,68.0,4.1,No,Yes,82.0,67.0,NotPlaced
2850,7.9,0,3,1,90.0,4.4,Yes,Yes,82.0,87.0,Placed
6635,8.7,1,2,2,86.0,4.8,Yes,Yes,89.0,85.0,Placed
7262,8.1,2,3,3,90.0,4.7,Yes,No,83.0,82.0,NotPlaced
5360,7.5,1,1,2,69.0,4.3,Yes,No,77.0,82.0,NotPlaced
9899,7.5,0,1,1,73.0,4.6,Yes,Yes,56.0,62.0,NotPlaced
5765,8.6,1,2,2,78.0,4.8,Yes,Yes,84.0,87.0,Placed
8276,7.6,1,2,1,81.0,4.4,Yes,Yes,75.0,88.0,Placed
9359,8.6,1,3,2,86.0,4.4,Yes,Yes,75.0,80.0,Placed
1658,8.1,2,3,1,75.0,4.8,Yes,Yes,59.0,72.0,NotPlaced
8313,8.1,0,3,2,77.0,4.8,No,No,62.0,81.0,NotPlaced
9249,7.7,1,2,0,69.0,3.5,No,Yes,56.0,59.0,NotPlaced
134,8.7,0,3,2,88.0,4.8,No,No,87.0,84.0,NotPlaced
9029,8.0,1,3,0,85.0,4.8,Yes,Yes,86.0,75.0,NotPlaced
6767,8.6,1,3,2,83.0,4.8,Yes,Yes,77.0,77.0,Placed
2795,6.5,1,1,1,79.0,4.4,Yes,Yes,74.0,71.0,NotPlaced
3043,7.5,1,1,0,73.0,4.0,No,No,74.0,70.0,NotPlaced
4230,7.0,1,1,0,71.0,4.4,No,No,63.0,74.0,NotPlaced
4117,6.7,1,1,0,76.0,4.2,No,No,61.0,63.0,Placed
5797,7.0,1,3,2,85.0,4.3,No,Yes,74.0,72.0,Placed
8989,8.5,1,1,1,77.0,4.5,Yes,Yes,57.0,66.0,NotPlaced
2982,7.7,0,1,1,77.0,3.3,No,No,56.0,68.0,NotPlaced
2065,7.5,2,2,1,75.0,4.2,Yes,Yes,65.0,86.0,NotPlaced
2136,7.7,0,2,2,83.0,4.5,Yes,Yes,63.0,82.0,Placed
6505,7.6,1,1,0,77.0,4.4,No,Yes,63.0,66.0,NotPlaced
3213,7.5,1,2,2,82.0,4.1,Yes,Yes,83.0,69.0,NotPlaced
2476,7.7,1,2,0,73.0,3.8,No,Yes,55.0,74.0,NotPlaced
7671,8.4,2,3,2,90.0,4.8,Yes,Yes,72.0,84.0,Placed
8310,7.9,1,3,2,75.0,4.6,No,Yes,82.0,84.0,Placed
725,7.8,0,3,0,76.0,3.7,Yes,Yes,85.0,79.0,Placed
5164,7.9,1,2,0,82.0,4.7,Yes,Yes,79.0,80.0,NotPlaced
2698,8.3,2,2,2,77.0,4.0,Yes,Yes,84.0,81.0,Placed
2531,8.5,2,3,2,87.0,4.4,Yes,Yes,77.0,71.0,Placed
2656,8.5,2,2,2,90.0,4.8,Yes,Yes,84.0,71.0,Placed
9032,8.0,2,3,2,83.0,4.5,Yes,No,79.0,81.0,NotPlaced
967,7.4,1,1,1,63.0,4.2,No,Yes,55.0,68.0,NotPlaced
9476,7.5,1,1,1,60.0,3.4,No,Yes,55.0,66.0,NotPlaced
9860,6.5,1,1,0,69.0,3.7,No,Yes,79.0,67.0,NotPlaced
3838,8.1,1,1,1,74.0,4.5,Yes,Yes,78.0,69.0,NotPlaced
3079,6.5,2,3,2,79.0,3.7,Yes,Yes,57.0,68.0,Placed
1549,8.3,1,1,1,90.0,4.8,Yes,Yes,84.0,88.0,Placed
8202,8.0,2,3,3,90.0,4.8,Yes,Yes,78.0,85.0,Placed
4322,8.8,1,2,2,85.0,4.8,Yes,Yes,68.0,87.0,Placed
9549,7.4,1,1,0,82.0,3.8,No,Yes,55.0,72.0,Placed
